layer,probe_method,train_dataset,eval_dataset,eval_type,model_name,grouped_accuracy
0,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
0,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
0,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
0,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.5
0,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
0,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
0,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
0,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
0,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
0,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
0,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.3
0,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
0,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
0,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.5
0,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
0,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
0,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
0,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.3
0,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.4
0,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
0,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.2
0,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
0,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.3
0,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
