split,dataset,probe_method,model_name,layer_index,grouped_accuracy,model_label
train,repeng_truthful,dim,distilgpt2,-1,0.6875,DistilGPT-2
validation,repeng_truthful,dim,distilgpt2,-1,0.2727272727272727,DistilGPT-2
test,repeng_truthful,dim,distilgpt2,-1,0.45454545454545453,DistilGPT-2
train,repeng_truthful,lat,distilgpt2,-1,0.5625,DistilGPT-2
validation,repeng_truthful,lat,distilgpt2,-1,0.2727272727272727,DistilGPT-2
test,repeng_truthful,lat,distilgpt2,-1,0.36363636363636365,DistilGPT-2
train,repeng_truthful,lr,distilgpt2,-1,0.90625,DistilGPT-2
validation,repeng_truthful,lr,distilgpt2,-1,0.8181818181818182,DistilGPT-2
test,repeng_truthful,lr,distilgpt2,-1,1.0,DistilGPT-2
train,repeng_truthful,pca-g,distilgpt2,-1,0.5625,DistilGPT-2
validation,repeng_truthful,pca-g,distilgpt2,-1,0.2727272727272727,DistilGPT-2
test,repeng_truthful,pca-g,distilgpt2,-1,0.36363636363636365,DistilGPT-2
train,repeng_truthful,dim,gpt2,-1,0.59375,GPT-2
validation,repeng_truthful,dim,gpt2,-1,0.6363636363636364,GPT-2
test,repeng_truthful,dim,gpt2,-1,0.8181818181818182,GPT-2
train,repeng_truthful,lat,gpt2,-1,0.5625,GPT-2
validation,repeng_truthful,lat,gpt2,-1,0.36363636363636365,GPT-2
test,repeng_truthful,lat,gpt2,-1,0.8181818181818182,GPT-2
train,repeng_truthful,lr,gpt2,-1,0.96875,GPT-2
validation,repeng_truthful,lr,gpt2,-1,1.0,GPT-2
test,repeng_truthful,lr,gpt2,-1,0.9090909090909091,GPT-2
train,repeng_truthful,pca-g,gpt2,-1,0.5625,GPT-2
validation,repeng_truthful,pca-g,gpt2,-1,0.36363636363636365,GPT-2
test,repeng_truthful,pca-g,gpt2,-1,0.8181818181818182,GPT-2
train,repeng_truthful,dim,gpt2-medium,-1,0.625,GPT-2 Medium
validation,repeng_truthful,dim,gpt2-medium,-1,0.36363636363636365,GPT-2 Medium
test,repeng_truthful,dim,gpt2-medium,-1,0.6363636363636364,GPT-2 Medium
train,repeng_truthful,lat,gpt2-medium,-1,0.625,GPT-2 Medium
validation,repeng_truthful,lat,gpt2-medium,-1,0.36363636363636365,GPT-2 Medium
test,repeng_truthful,lat,gpt2-medium,-1,0.45454545454545453,GPT-2 Medium
train,repeng_truthful,lr,gpt2-medium,-1,0.96875,GPT-2 Medium
validation,repeng_truthful,lr,gpt2-medium,-1,0.8181818181818182,GPT-2 Medium
test,repeng_truthful,lr,gpt2-medium,-1,1.0,GPT-2 Medium
train,repeng_truthful,pca-g,gpt2-medium,-1,0.625,GPT-2 Medium
validation,repeng_truthful,pca-g,gpt2-medium,-1,0.36363636363636365,GPT-2 Medium
test,repeng_truthful,pca-g,gpt2-medium,-1,0.45454545454545453,GPT-2 Medium
train,repeng_truthful,dim,microsoft/phi-2,-1,0.78125,Phi-2
validation,repeng_truthful,dim,microsoft/phi-2,-1,0.5454545454545454,Phi-2
test,repeng_truthful,dim,microsoft/phi-2,-1,0.5454545454545454,Phi-2
train,repeng_truthful,lat,microsoft/phi-2,-1,0.59375,Phi-2
validation,repeng_truthful,lat,microsoft/phi-2,-1,0.18181818181818182,Phi-2
test,repeng_truthful,lat,microsoft/phi-2,-1,0.2727272727272727,Phi-2
train,repeng_truthful,lr,microsoft/phi-2,-1,1.0,Phi-2
validation,repeng_truthful,lr,microsoft/phi-2,-1,1.0,Phi-2
test,repeng_truthful,lr,microsoft/phi-2,-1,1.0,Phi-2
train,repeng_truthful,pca-g,microsoft/phi-2,-1,0.5625,Phi-2
validation,repeng_truthful,pca-g,microsoft/phi-2,-1,0.18181818181818182,Phi-2
test,repeng_truthful,pca-g,microsoft/phi-2,-1,0.18181818181818182,Phi-2
