train_dataset,eval_dataset,probe_method,model_name,layer,requested_layer,grouped_accuracy
amazon_polarity,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
amazon_polarity,arc_easy,lr,microsoft/phi-2,18,18,0.9
amazon_polarity,boolq,lr,microsoft/phi-2,18,18,0.8
amazon_polarity,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
amazon_polarity,facts,lr,microsoft/phi-2,18,18,1.0
amazon_polarity,repeng_truthful,lr,microsoft/phi-2,18,18,1.0
amazon_polarity,truthful_qa,lr,microsoft/phi-2,18,18,0.3
arc_easy,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
arc_easy,arc_easy,lr,microsoft/phi-2,18,18,0.9
arc_easy,boolq,lr,microsoft/phi-2,18,18,0.8
arc_easy,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
arc_easy,facts,lr,microsoft/phi-2,18,18,1.0
arc_easy,repeng_truthful,lr,microsoft/phi-2,18,18,1.0
arc_easy,truthful_qa,lr,microsoft/phi-2,18,18,0.2
boolq,amazon_polarity,lr,microsoft/phi-2,18,18,0.8
boolq,arc_easy,lr,microsoft/phi-2,18,18,0.5
boolq,boolq,lr,microsoft/phi-2,18,18,0.8
boolq,dbpedia_14,lr,microsoft/phi-2,18,18,0.7
boolq,facts,lr,microsoft/phi-2,18,18,1.0
boolq,repeng_truthful,lr,microsoft/phi-2,18,18,0.1
boolq,truthful_qa,lr,microsoft/phi-2,18,18,0.2
dbpedia_14,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
dbpedia_14,arc_easy,lr,microsoft/phi-2,18,18,0.9
dbpedia_14,boolq,lr,microsoft/phi-2,18,18,0.8
dbpedia_14,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
dbpedia_14,facts,lr,microsoft/phi-2,18,18,1.0
dbpedia_14,repeng_truthful,lr,microsoft/phi-2,18,18,0.8
dbpedia_14,truthful_qa,lr,microsoft/phi-2,18,18,0.3
facts,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
facts,arc_easy,lr,microsoft/phi-2,18,18,0.9
facts,boolq,lr,microsoft/phi-2,18,18,0.6
facts,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
facts,facts,lr,microsoft/phi-2,18,18,1.0
facts,repeng_truthful,lr,microsoft/phi-2,18,18,0.8
facts,truthful_qa,lr,microsoft/phi-2,18,18,0.4
repeng_truthful,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
repeng_truthful,arc_easy,lr,microsoft/phi-2,18,18,0.9
repeng_truthful,boolq,lr,microsoft/phi-2,18,18,0.8
repeng_truthful,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
repeng_truthful,facts,lr,microsoft/phi-2,18,18,1.0
repeng_truthful,repeng_truthful,lr,microsoft/phi-2,18,18,1.0
repeng_truthful,truthful_qa,lr,microsoft/phi-2,18,18,0.3
truthful_qa,amazon_polarity,lr,microsoft/phi-2,18,18,0.7
truthful_qa,arc_easy,lr,microsoft/phi-2,18,18,0.4
truthful_qa,boolq,lr,microsoft/phi-2,18,18,0.7
truthful_qa,dbpedia_14,lr,microsoft/phi-2,18,18,0.8
truthful_qa,facts,lr,microsoft/phi-2,18,18,1.0
truthful_qa,repeng_truthful,lr,microsoft/phi-2,18,18,1.0
truthful_qa,truthful_qa,lr,microsoft/phi-2,18,18,0.8
