layer,split,dataset,probe_method,model_name,grouped_accuracy,model_label
0,train,repeng_truthful,lr,distilgpt2,0.84375,DistilGPT-2
0,validation,repeng_truthful,lr,distilgpt2,0.7272727272727273,DistilGPT-2
0,test,repeng_truthful,lr,distilgpt2,0.8181818181818182,DistilGPT-2
1,train,repeng_truthful,lr,distilgpt2,0.875,DistilGPT-2
1,validation,repeng_truthful,lr,distilgpt2,0.7272727272727273,DistilGPT-2
1,test,repeng_truthful,lr,distilgpt2,0.9090909090909091,DistilGPT-2
2,train,repeng_truthful,lr,distilgpt2,1.0,DistilGPT-2
2,validation,repeng_truthful,lr,distilgpt2,0.8181818181818182,DistilGPT-2
2,test,repeng_truthful,lr,distilgpt2,0.9090909090909091,DistilGPT-2
3,train,repeng_truthful,lr,distilgpt2,1.0,DistilGPT-2
3,validation,repeng_truthful,lr,distilgpt2,0.8181818181818182,DistilGPT-2
3,test,repeng_truthful,lr,distilgpt2,0.9090909090909091,DistilGPT-2
4,train,repeng_truthful,lr,distilgpt2,1.0,DistilGPT-2
4,validation,repeng_truthful,lr,distilgpt2,1.0,DistilGPT-2
4,test,repeng_truthful,lr,distilgpt2,1.0,DistilGPT-2
5,train,repeng_truthful,lr,distilgpt2,0.90625,DistilGPT-2
5,validation,repeng_truthful,lr,distilgpt2,0.8181818181818182,DistilGPT-2
5,test,repeng_truthful,lr,distilgpt2,1.0,DistilGPT-2
0,train,repeng_truthful,lr,gpt2,0.90625,GPT-2
0,validation,repeng_truthful,lr,gpt2,0.8181818181818182,GPT-2
0,test,repeng_truthful,lr,gpt2,1.0,GPT-2
1,train,repeng_truthful,lr,gpt2,0.9375,GPT-2
1,validation,repeng_truthful,lr,gpt2,0.8181818181818182,GPT-2
1,test,repeng_truthful,lr,gpt2,0.7272727272727273,GPT-2
2,train,repeng_truthful,lr,gpt2,0.9375,GPT-2
2,validation,repeng_truthful,lr,gpt2,0.7272727272727273,GPT-2
2,test,repeng_truthful,lr,gpt2,0.8181818181818182,GPT-2
3,train,repeng_truthful,lr,gpt2,0.96875,GPT-2
3,validation,repeng_truthful,lr,gpt2,0.7272727272727273,GPT-2
3,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
4,train,repeng_truthful,lr,gpt2,1.0,GPT-2
4,validation,repeng_truthful,lr,gpt2,1.0,GPT-2
4,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
5,train,repeng_truthful,lr,gpt2,1.0,GPT-2
5,validation,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
5,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
6,train,repeng_truthful,lr,gpt2,1.0,GPT-2
6,validation,repeng_truthful,lr,gpt2,1.0,GPT-2
6,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
7,train,repeng_truthful,lr,gpt2,1.0,GPT-2
7,validation,repeng_truthful,lr,gpt2,1.0,GPT-2
7,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
8,train,repeng_truthful,lr,gpt2,1.0,GPT-2
8,validation,repeng_truthful,lr,gpt2,1.0,GPT-2
8,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
9,train,repeng_truthful,lr,gpt2,1.0,GPT-2
9,validation,repeng_truthful,lr,gpt2,1.0,GPT-2
9,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
10,train,repeng_truthful,lr,gpt2,1.0,GPT-2
10,validation,repeng_truthful,lr,gpt2,1.0,GPT-2
10,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
11,train,repeng_truthful,lr,gpt2,0.96875,GPT-2
11,validation,repeng_truthful,lr,gpt2,1.0,GPT-2
11,test,repeng_truthful,lr,gpt2,0.9090909090909091,GPT-2
0,train,repeng_truthful,lr,gpt2-medium,0.90625,GPT-2 Medium
0,validation,repeng_truthful,lr,gpt2-medium,0.8181818181818182,GPT-2 Medium
0,test,repeng_truthful,lr,gpt2-medium,1.0,GPT-2 Medium
1,train,repeng_truthful,lr,gpt2-medium,0.9375,GPT-2 Medium
1,validation,repeng_truthful,lr,gpt2-medium,0.8181818181818182,GPT-2 Medium
1,test,repeng_truthful,lr,gpt2-medium,1.0,GPT-2 Medium
2,train,repeng_truthful,lr,gpt2-medium,0.9375,GPT-2 Medium
2,validation,repeng_truthful,lr,gpt2-medium,0.7272727272727273,GPT-2 Medium
2,test,repeng_truthful,lr,gpt2-medium,0.8181818181818182,GPT-2 Medium
3,train,repeng_truthful,lr,gpt2-medium,0.9375,GPT-2 Medium
