train_dataset,eval_dataset,probe_method,model_name,layer_index,split_evaluation,eval_split,grouped_accuracy,model_label,load_in_4bit,runtime_seconds
repeng_truthful,arc_challenge,lr,microsoft/phi-2,-1,True,test,0.4,Phi-2 baseline,False,40.98546551499999
repeng_truthful,arc_easy,lr,microsoft/phi-2,-1,True,test,1.0,Phi-2 baseline,False,40.98546551499999
repeng_truthful,boolq,lr,microsoft/phi-2,-1,True,test,0.6,Phi-2 baseline,False,40.98546551499999
repeng_truthful,cities,lr,microsoft/phi-2,-1,True,test,0.8333333333333334,Phi-2 baseline,False,40.98546551499999
repeng_truthful,larger_than,lr,microsoft/phi-2,-1,True,test,0.5,Phi-2 baseline,False,40.98546551499999
repeng_truthful,qa,lr,microsoft/phi-2,-1,True,test,0.6666666666666666,Phi-2 baseline,False,40.98546551499999
repeng_truthful,repeng_truthful,lr,microsoft/phi-2,-1,True,test,1.0,Phi-2 baseline,False,40.98546551499999
repeng_truthful,truthfulqa,lr,microsoft/phi-2,-1,True,test,0.6,Phi-2 baseline,False,40.98546551499999
repeng_truthful,arc_challenge,lr,mistralai/Mistral-7B-Instruct-v0.3,-1,True,test,0.2,Mistral 7B Instruct,True,89.19071756299991
repeng_truthful,arc_easy,lr,mistralai/Mistral-7B-Instruct-v0.3,-1,True,test,0.2,Mistral 7B Instruct,True,89.19071756299991
repeng_truthful,boolq,lr,mistralai/Mistral-7B-Instruct-v0.3,-1,True,test,0.6,Mistral 7B Instruct,True,89.19071756299991
repeng_truthful,cities,lr,mistralai/Mistral-7B-Instruct-v0.3,-1,True,test,0.0,Mistral 7B Instruct,True,89.19071756299991
repeng_truthful,larger_than,lr,mistralai/Mistral-7B-Instruct-v0.3,-1,True,test,0.3333333333333333,Mistral 7B Instruct,True,89.19071756299991
repeng_truthful,qa,lr,mistralai/Mistral-7B-Instruct-v0.3,-1,True,test,0.3333333333333333,Mistral 7B Instruct,True,89.19071756299991
repeng_truthful,repeng_truthful,lr,mistralai/Mistral-7B-Instruct-v0.3,-1,True,test,1.0,Mistral 7B Instruct,True,89.19071756299991
repeng_truthful,truthfulqa,lr,mistralai/Mistral-7B-Instruct-v0.3,-1,True,test,0.0,Mistral 7B Instruct,True,89.19071756299991
repeng_truthful,arc_challenge,lr,meta-llama/Llama-2-13b-chat-hf,-1,True,test,0.2,Llama 2 13B Chat,True,144.6400257570001
repeng_truthful,arc_easy,lr,meta-llama/Llama-2-13b-chat-hf,-1,True,test,1.0,Llama 2 13B Chat,True,144.6400257570001
repeng_truthful,boolq,lr,meta-llama/Llama-2-13b-chat-hf,-1,True,test,0.8,Llama 2 13B Chat,True,144.6400257570001
repeng_truthful,cities,lr,meta-llama/Llama-2-13b-chat-hf,-1,True,test,1.0,Llama 2 13B Chat,True,144.6400257570001
repeng_truthful,larger_than,lr,meta-llama/Llama-2-13b-chat-hf,-1,True,test,0.5,Llama 2 13B Chat,True,144.6400257570001
repeng_truthful,qa,lr,meta-llama/Llama-2-13b-chat-hf,-1,True,test,0.3333333333333333,Llama 2 13B Chat,True,144.6400257570001
repeng_truthful,repeng_truthful,lr,meta-llama/Llama-2-13b-chat-hf,-1,True,test,1.0,Llama 2 13B Chat,True,144.6400257570001
repeng_truthful,truthfulqa,lr,meta-llama/Llama-2-13b-chat-hf,-1,True,test,0.2,Llama 2 13B Chat,True,144.6400257570001
