train_dataset,eval_dataset,probe_method,model_name,layer,requested_layer,grouped_accuracy
amazon_polarity,amazon_polarity,dim,microsoft/phi-2,18,18,1.0
amazon_polarity,arc_easy,dim,microsoft/phi-2,18,18,0.9
amazon_polarity,boolq,dim,microsoft/phi-2,18,18,0.7
amazon_polarity,dbpedia_14,dim,microsoft/phi-2,18,18,0.9
amazon_polarity,facts,dim,microsoft/phi-2,18,18,1.0
amazon_polarity,repeng_truthful,dim,microsoft/phi-2,18,18,0.9
amazon_polarity,truthful_qa,dim,microsoft/phi-2,18,18,0.3
arc_easy,amazon_polarity,dim,microsoft/phi-2,18,18,1.0
arc_easy,arc_easy,dim,microsoft/phi-2,18,18,0.9
arc_easy,boolq,dim,microsoft/phi-2,18,18,0.7
arc_easy,dbpedia_14,dim,microsoft/phi-2,18,18,0.9
arc_easy,facts,dim,microsoft/phi-2,18,18,1.0
arc_easy,repeng_truthful,dim,microsoft/phi-2,18,18,0.8
arc_easy,truthful_qa,dim,microsoft/phi-2,18,18,0.3
boolq,amazon_polarity,dim,microsoft/phi-2,18,18,0.8
boolq,arc_easy,dim,microsoft/phi-2,18,18,0.8
boolq,boolq,dim,microsoft/phi-2,18,18,0.5
boolq,dbpedia_14,dim,microsoft/phi-2,18,18,0.9
boolq,facts,dim,microsoft/phi-2,18,18,1.0
boolq,repeng_truthful,dim,microsoft/phi-2,18,18,0.7
boolq,truthful_qa,dim,microsoft/phi-2,18,18,0.1
dbpedia_14,amazon_polarity,dim,microsoft/phi-2,18,18,1.0
dbpedia_14,arc_easy,dim,microsoft/phi-2,18,18,0.9
dbpedia_14,boolq,dim,microsoft/phi-2,18,18,0.7
dbpedia_14,dbpedia_14,dim,microsoft/phi-2,18,18,0.9
dbpedia_14,facts,dim,microsoft/phi-2,18,18,1.0
dbpedia_14,repeng_truthful,dim,microsoft/phi-2,18,18,1.0
dbpedia_14,truthful_qa,dim,microsoft/phi-2,18,18,0.4
facts,amazon_polarity,dim,microsoft/phi-2,18,18,1.0
facts,arc_easy,dim,microsoft/phi-2,18,18,0.9
facts,boolq,dim,microsoft/phi-2,18,18,0.7
facts,dbpedia_14,dim,microsoft/phi-2,18,18,0.9
facts,facts,dim,microsoft/phi-2,18,18,1.0
facts,repeng_truthful,dim,microsoft/phi-2,18,18,0.9
facts,truthful_qa,dim,microsoft/phi-2,18,18,0.3
repeng_truthful,amazon_polarity,dim,microsoft/phi-2,18,18,1.0
repeng_truthful,arc_easy,dim,microsoft/phi-2,18,18,0.9
repeng_truthful,boolq,dim,microsoft/phi-2,18,18,0.6
repeng_truthful,dbpedia_14,dim,microsoft/phi-2,18,18,0.9
repeng_truthful,facts,dim,microsoft/phi-2,18,18,1.0
repeng_truthful,repeng_truthful,dim,microsoft/phi-2,18,18,1.0
repeng_truthful,truthful_qa,dim,microsoft/phi-2,18,18,0.4
truthful_qa,amazon_polarity,dim,microsoft/phi-2,18,18,1.0
truthful_qa,arc_easy,dim,microsoft/phi-2,18,18,1.0
truthful_qa,boolq,dim,microsoft/phi-2,18,18,0.5
truthful_qa,dbpedia_14,dim,microsoft/phi-2,18,18,0.9
truthful_qa,facts,dim,microsoft/phi-2,18,18,1.0
truthful_qa,repeng_truthful,dim,microsoft/phi-2,18,18,0.8
truthful_qa,truthful_qa,dim,microsoft/phi-2,18,18,0.5
