train_dataset,eval_dataset,probe_method,model_name,layer_index,split_evaluation,eval_split,grouped_accuracy,model_label
repeng_truthful,cities,dim,distilgpt2,-1,True,test,0.0,DistilGPT-2
repeng_truthful,larger_than,dim,distilgpt2,-1,True,test,0.16666666666666666,DistilGPT-2
repeng_truthful,qa,dim,distilgpt2,-1,True,test,0.0,DistilGPT-2
repeng_truthful,repeng_truthful,dim,distilgpt2,-1,True,test,0.45454545454545453,DistilGPT-2
repeng_truthful,cities,lat,distilgpt2,-1,True,test,0.0,DistilGPT-2
repeng_truthful,larger_than,lat,distilgpt2,-1,True,test,0.16666666666666666,DistilGPT-2
repeng_truthful,qa,lat,distilgpt2,-1,True,test,0.16666666666666666,DistilGPT-2
repeng_truthful,repeng_truthful,lat,distilgpt2,-1,True,test,0.36363636363636365,DistilGPT-2
repeng_truthful,cities,lr,distilgpt2,-1,True,test,0.16666666666666666,DistilGPT-2
repeng_truthful,larger_than,lr,distilgpt2,-1,True,test,0.16666666666666666,DistilGPT-2
repeng_truthful,qa,lr,distilgpt2,-1,True,test,0.16666666666666666,DistilGPT-2
repeng_truthful,repeng_truthful,lr,distilgpt2,-1,True,test,1.0,DistilGPT-2
repeng_truthful,cities,pca-g,distilgpt2,-1,True,test,0.0,DistilGPT-2
repeng_truthful,larger_than,pca-g,distilgpt2,-1,True,test,0.16666666666666666,DistilGPT-2
repeng_truthful,qa,pca-g,distilgpt2,-1,True,test,0.16666666666666666,DistilGPT-2
repeng_truthful,repeng_truthful,pca-g,distilgpt2,-1,True,test,0.36363636363636365,DistilGPT-2
repeng_truthful,cities,dim,gpt2,-1,True,test,0.0,GPT-2
repeng_truthful,larger_than,dim,gpt2,-1,True,test,0.6666666666666666,GPT-2
repeng_truthful,qa,dim,gpt2,-1,True,test,0.3333333333333333,GPT-2
repeng_truthful,repeng_truthful,dim,gpt2,-1,True,test,0.8181818181818182,GPT-2
repeng_truthful,cities,lat,gpt2,-1,True,test,0.0,GPT-2
repeng_truthful,larger_than,lat,gpt2,-1,True,test,0.8333333333333334,GPT-2
repeng_truthful,qa,lat,gpt2,-1,True,test,0.3333333333333333,GPT-2
repeng_truthful,repeng_truthful,lat,gpt2,-1,True,test,0.8181818181818182,GPT-2
repeng_truthful,cities,lr,gpt2,-1,True,test,0.3333333333333333,GPT-2
repeng_truthful,larger_than,lr,gpt2,-1,True,test,0.5,GPT-2
repeng_truthful,qa,lr,gpt2,-1,True,test,0.3333333333333333,GPT-2
repeng_truthful,repeng_truthful,lr,gpt2,-1,True,test,0.9090909090909091,GPT-2
repeng_truthful,cities,pca-g,gpt2,-1,True,test,0.0,GPT-2
repeng_truthful,larger_than,pca-g,gpt2,-1,True,test,0.8333333333333334,GPT-2
repeng_truthful,qa,pca-g,gpt2,-1,True,test,0.3333333333333333,GPT-2
repeng_truthful,repeng_truthful,pca-g,gpt2,-1,True,test,0.8181818181818182,GPT-2
repeng_truthful,cities,dim,gpt2-medium,-1,True,test,0.0,GPT-2 Medium
repeng_truthful,larger_than,dim,gpt2-medium,-1,True,test,0.16666666666666666,GPT-2 Medium
repeng_truthful,qa,dim,gpt2-medium,-1,True,test,0.0,GPT-2 Medium
repeng_truthful,repeng_truthful,dim,gpt2-medium,-1,True,test,0.6363636363636364,GPT-2 Medium
repeng_truthful,cities,lat,gpt2-medium,-1,True,test,0.0,GPT-2 Medium
repeng_truthful,larger_than,lat,gpt2-medium,-1,True,test,0.16666666666666666,GPT-2 Medium
repeng_truthful,qa,lat,gpt2-medium,-1,True,test,0.0,GPT-2 Medium
repeng_truthful,repeng_truthful,lat,gpt2-medium,-1,True,test,0.45454545454545453,GPT-2 Medium
repeng_truthful,cities,lr,gpt2-medium,-1,True,test,0.3333333333333333,GPT-2 Medium
repeng_truthful,larger_than,lr,gpt2-medium,-1,True,test,0.8333333333333334,GPT-2 Medium
repeng_truthful,qa,lr,gpt2-medium,-1,True,test,0.0,GPT-2 Medium
repeng_truthful,repeng_truthful,lr,gpt2-medium,-1,True,test,1.0,GPT-2 Medium
repeng_truthful,cities,pca-g,gpt2-medium,-1,True,test,0.0,GPT-2 Medium
repeng_truthful,larger_than,pca-g,gpt2-medium,-1,True,test,0.16666666666666666,GPT-2 Medium
repeng_truthful,qa,pca-g,gpt2-medium,-1,True,test,0.0,GPT-2 Medium
repeng_truthful,repeng_truthful,pca-g,gpt2-medium,-1,True,test,0.45454545454545453,GPT-2 Medium
repeng_truthful,cities,dim,microsoft/phi-2,-1,True,test,0.8333333333333334,Phi-2
repeng_truthful,larger_than,dim,microsoft/phi-2,-1,True,test,0.8333333333333334,Phi-2
repeng_truthful,qa,dim,microsoft/phi-2,-1,True,test,0.6666666666666666,Phi-2
repeng_truthful,repeng_truthful,dim,microsoft/phi-2,-1,True,test,0.5454545454545454,Phi-2
repeng_truthful,cities,lat,microsoft/phi-2,-1,True,test,0.5,Phi-2
repeng_truthful,larger_than,lat,microsoft/phi-2,-1,True,test,0.8333333333333334,Phi-2
repeng_truthful,qa,lat,microsoft/phi-2,-1,True,test,0.5,Phi-2
repeng_truthful,repeng_truthful,lat,microsoft/phi-2,-1,True,test,0.2727272727272727,Phi-2
repeng_truthful,cities,lr,microsoft/phi-2,-1,True,test,0.8333333333333334,Phi-2
repeng_truthful,larger_than,lr,microsoft/phi-2,-1,True,test,0.8333333333333334,Phi-2
repeng_truthful,qa,lr,microsoft/phi-2,-1,True,test,0.6666666666666666,Phi-2
repeng_truthful,repeng_truthful,lr,microsoft/phi-2,-1,True,test,1.0,Phi-2
repeng_truthful,cities,pca-g,microsoft/phi-2,-1,True,test,0.5,Phi-2
repeng_truthful,larger_than,pca-g,microsoft/phi-2,-1,True,test,0.8333333333333334,Phi-2
repeng_truthful,qa,pca-g,microsoft/phi-2,-1,True,test,0.5,Phi-2
repeng_truthful,repeng_truthful,pca-g,microsoft/phi-2,-1,True,test,0.18181818181818182,Phi-2
